poverty_perc,median_household_income,education_less_than_high_school_percent,percent_high_blood_pressure,percent_coronary_heart_disease,percent_stroke,percent_high_cholesterol,percent_inactive,percent_smoking,number_of_hospitals,number_of_primary_care_physicians,percent_no_heath_insurance,urban_rural_status
6.0,0.8000012499921876,6.4,27.7,6.4,2.8,31.8,15.9,8.2,0.03896103896103896,0.05802047781569966,5.3,
13.3,0.3562540234123537,9.1,35.4,9.3,4.2,36.8,17.3,13.1,0.012987012987012988,0.13310580204778158,9.9,0.0
14.3,0.3312541796613771,13.3,32.6,8.6,4.0,31.9,18.0,14.2,0.03896103896103896,0.07167235494880547,10.6,0.0
16.3,0.36875394528784194,30.3,27.4,6.3,3.2,28.7,27.3,14.7,0.025974025974025976,0.10921501706484643,11.4,
17.9,0.29375441403491226,15.3,36.9,10.1,4.6,36.7,19.0,15.2,0.025974025974025976,0.08532423208191126,11.5,0.0
11.6,0.5312529296691896,27.0,25.9,6.3,3.0,27.7,22.9,12.1,0.05194805194805195,0.08532423208191126,11.9,
7.9,0.5750026562333986,14.5,27.7,6.5,2.9,30.9,16.6,10.6,0.025974025974025976,0.06825938566552901,8.7,
9.2,0.46250335935400405,5.4,33.2,8.1,3.5,36.9,15.1,11.1,0.025974025974025976,0.07849829351535836,7.0,0.0
6.5,0.6312523046730958,4.9,28.1,6.2,2.8,33.1,14.0,9.9,0.03896103896103896,0.061433447098976114,4.9,
13.5,0.3625039843500978,5.3,35.9,9.1,4.0,36.8,18.3,12.5,0.03896103896103896,0.07849829351535836,6.7,0.0
12.5,0.4562533984162599,12.1,27.1,5.8,3.0,28.5,19.8,12.6,0.1038961038961039,0.07167235494880547,6.8,1.0
7.9,0.5687526952956544,18.1,26.3,5.7,2.7,29.1,19.9,11.8,0.012987012987012988,0.15358361774744028,9.0,
10.0,0.7625014843657227,11.4,24.2,4.6,2.2,28.0,16.0,9.2,0.12987012987012989,0.05460750853242321,5.2,1.0
13.9,0.44375347654077163,19.9,28.3,6.0,3.1,30.1,24.8,13.7,0.09090909090909091,0.09215017064846417,8.2,
10.6,0.49375316404272473,8.2,27.7,6.5,2.9,31.0,16.5,10.4,0.05194805194805195,0.07508532423208192,7.0,
5.5,0.8250010937431641,9.6,25.0,4.9,2.3,31.3,13.9,8.6,0.07792207792207792,0.06484641638225257,5.8,
10.5,0.5375028906069338,18.2,24.7,6.1,2.8,28.2,19.4,10.7,0.06493506493506494,0.07849829351535836,12.0,
6.6,0.8687508203073732,11.3,23.1,4.4,2.2,26.9,17.4,8.4,0.12987012987012989,0.06484641638225257,5.5,1.0
10.7,0.5812526171711427,11.7,25.7,6.0,2.7,29.0,15.5,10.5,0.025974025974025976,0.06825938566552901,7.9,
13.9,0.36875394528784194,8.9,31.4,7.9,3.7,32.9,15.7,14.6,0.03896103896103896,0.08191126279863481,8.1,
11.5,0.36875394528784194,7.5,38.4,9.4,4.1,39.2,19.2,12.9,0.0,0.13651877133105803,7.1,0.0
14.3,0.3062543359104006,10.1,34.9,9.5,4.4,35.9,19.7,14.7,0.025974025974025976,0.08191126279863481,9.3,0.0
9.3,0.5250029687314455,11.3,27.8,5.8,3.0,29.5,23.3,11.6,0.06493506493506494,0.07508532423208192,6.0,
7.8,0.5437528515446779,10.9,28.0,6.6,3.0,29.8,14.9,11.4,0.07792207792207792,0.06825938566552901,7.8,
13.0,0.4062537109143068,20.2,28.5,6.3,3.1,30.5,25.4,14.2,0.05194805194805195,0.08532423208191126,8.4,
11.5,0.4125036718520509,20.2,29.1,6.8,3.3,31.1,27.5,13.9,0.0,0.07849829351535836,8.9,
13.3,0.38750382810107437,14.1,34.1,8.6,4.1,32.8,23.9,15.7,0.012987012987012988,0.10238907849829351,8.7,0.0
18.0,0.281254492159424,7.0,38.8,10.8,5.0,38.1,19.3,16.2,0.012987012987012988,0.13993174061433447,10.1,0.0
12.1,0.3937537890388185,9.0,35.1,8.4,3.8,35.5,19.8,12.8,0.012987012987012988,0.08191126279863481,6.8,0.0
14.8,0.506253085918213,12.5,24.0,5.1,2.5,25.5,19.4,11.0,0.025974025974025976,0.061433447098976114,6.7,
16.3,0.3500040624746095,17.8,26.9,6.3,3.1,29.5,20.5,15.2,0.012987012987012988,0.19112627986348124,8.1,
12.2,0.43750351560302747,7.1,30.9,7.1,3.8,29.8,21.6,15.5,0.06493506493506494,0.07849829351535836,5.6,0.0
8.0,0.5625027343579103,7.6,30.1,4.9,3.0,30.7,21.2,11.4,0.1168831168831169,0.07167235494880547,4.4,
-1.0,0.0,1.4,40.8,9.1,4.9,33.4,21.5,9.4,0.0,0.0,-1.0,
9.9,0.506253085918213,7.6,29.7,6.5,3.4,29.1,20.8,12.7,0.025974025974025976,0.07849829351535836,5.2,0.0
9.5,0.506253085918213,7.7,27.2,6.0,3.3,27.3,19.3,13.6,0.05194805194805195,0.07508532423208192,5.9,
15.7,0.4125036718520509,3.8,24.5,5.3,2.5,26.3,18.0,11.0,0.012987012987012988,0.06484641638225257,6.7,
6.8,0.5187530077937014,6.3,32.1,5.9,2.8,31.2,18.7,12.9,0.03896103896103896,0.07167235494880547,7.4,
10.5,0.3937537890388185,7.6,33.5,7.7,3.6,32.3,20.7,15.9,0.025974025974025976,0.08532423208191126,8.2,0.0
9.2,0.4562533984162599,9.2,32.8,7.1,3.4,31.7,22.2,16.1,0.0,0.13310580204778158,7.3,
15.4,0.31875425778588884,10.0,38.7,9.1,4.4,36.4,22.3,17.4,0.03896103896103896,0.07167235494880547,9.1,0.0
10.3,0.4312535546652833,10.7,37.2,8.4,4.0,34.3,19.0,16.8,0.012987012987012988,0.15358361774744028,10.1,0.0
14.5,0.3000043749726564,7.9,39.3,10.0,4.6,36.8,20.8,15.1,0.012987012987012988,0.08532423208191126,10.0,0.0
8.1,0.4125036718520509,6.2,30.4,6.5,3.0,32.1,19.5,13.6,0.025974025974025976,0.06825938566552901,7.9,
13.3,0.32500421872363294,9.5,35.7,8.8,4.2,35.3,22.1,16.9,0.03896103896103896,0.08532423208191126,8.7,0.0
10.7,0.3937537890388185,6.5,37.3,9.9,4.7,35.6,19.8,17.0,0.0,0.09897610921501707,8.6,0.0
8.5,0.5125030468559572,17.5,27.7,6.1,2.9,28.2,19.3,14.0,0.012987012987012988,0.051194539249146756,12.8,0.0
11.9,0.3562540234123537,9.6,31.3,7.5,3.7,34.2,18.9,14.8,0.03896103896103896,0.07167235494880547,9.8,
12.5,0.40000374997656263,11.7,32.7,7.8,3.9,32.0,24.0,17.5,0.012987012987012988,0.08873720136518773,12.2,0.0
15.8,0.3000043749726564,9.2,36.0,9.5,4.6,36.0,22.0,17.4,0.012987012987012988,0.07508532423208192,10.3,
19.7,0.3125042968481447,12.3,34.6,8.3,4.2,33.3,22.0,17.4,0.012987012987012988,0.06825938566552901,10.7,0.0
15.7,0.3062543359104006,12.1,38.4,9.5,4.5,35.0,20.3,18.2,0.012987012987012988,0.10238907849829351,9.2,0.0
14.5,0.36875394528784194,7.5,29.3,6.7,3.3,30.4,19.0,15.1,0.06493506493506494,0.07508532423208192,9.1,
14.4,0.33750414059912126,7.7,37.8,9.2,4.3,34.2,22.9,15.6,0.025974025974025976,0.09897610921501707,10.9,0.0
11.3,0.4125036718520509,10.1,32.7,7.2,3.5,28.7,24.5,17.1,0.025974025974025976,0.09215017064846417,8.4,
12.1,0.4062537109143068,14.8,30.0,6.6,3.3,27.2,22.1,15.8,0.03896103896103896,0.08532423208191126,10.4,
11.2,0.46875332029174815,8.0,26.2,4.7,2.5,27.0,16.8,14.7,0.09090909090909091,0.05802047781569966,8.3,1.0
11.1,0.41875363278979505,8.5,29.5,6.4,3.0,28.7,21.8,14.2,0.012987012987012988,0.09215017064846417,8.6,
11.9,0.38750382810107437,10.6,35.4,8.7,4.0,34.4,19.2,16.3,0.0,0.09556313993174062,7.6,0.0
10.8,0.3625039843500978,9.7,35.2,8.4,3.9,33.3,21.7,15.7,0.012987012987012988,0.08191126279863481,10.0,0.0
12.4,0.3500040624746095,12.4,31.7,7.6,3.6,31.7,22.0,16.5,0.012987012987012988,0.06825938566552901,11.6,0.0
7.5,0.5312529296691896,7.4,26.4,4.7,2.4,26.9,16.4,11.9,0.05194805194805195,0.07167235494880547,6.9,
14.0,0.26875457028393573,6.7,42.4,11.0,5.2,38.4,19.9,15.6,0.0,0.0,11.2,0.0
8.7,0.4250035937275392,10.4,29.0,6.6,3.1,29.9,20.4,15.0,0.025974025974025976,0.08873720136518773,9.3,
8.3,0.38750382810107437,16.3,29.7,7.5,3.4,31.7,18.4,14.6,0.05194805194805195,0.06484641638225257,11.8,
13.3,0.34375410153686536,7.9,37.5,9.1,4.2,36.7,18.9,14.6,0.025974025974025976,0.07167235494880547,9.7,0.0
8.7,0.4812532421672365,7.0,30.0,6.1,2.8,30.5,15.7,13.6,0.025974025974025976,0.07849829351535836,7.3,
11.9,0.40000374997656263,10.1,35.4,7.8,3.6,34.0,20.2,18.1,0.012987012987012988,0.08873720136518773,7.4,
15.1,0.33750414059912126,10.1,37.1,8.7,4.0,37.5,21.3,18.3,0.025974025974025976,0.13651877133105803,9.7,0.0
6.5,0.4812532421672365,4.4,32.7,7.3,3.2,33.1,17.2,12.5,0.025974025974025976,0.11604095563139932,6.6,0.0
10.6,0.4125036718520509,3.7,38.1,9.5,4.1,38.4,12.6,12.3,0.012987012987012988,0.07508532423208192,8.6,0.0
7.6,0.6437522265485841,6.6,26.0,4.4,2.2,29.1,13.9,9.6,0.2207792207792208,0.061433447098976114,6.3,1.0
8.3,0.4812532421672365,5.1,30.7,6.0,2.8,32.4,17.2,13.2,0.025974025974025976,0.08532423208191126,6.4,
12.9,0.4062537109143068,8.2,26.8,6.0,2.9,27.1,16.8,14.8,0.012987012987012988,0.09215017064846417,8.7,0.0
14.0,0.3562540234123537,11.2,34.2,8.9,4.1,34.7,18.1,16.1,0.025974025974025976,0.09215017064846417,10.9,0.0
13.3,0.34375410153686536,10.6,33.5,8.2,3.8,36.5,19.6,16.9,0.025974025974025976,0.10921501706484643,9.5,0.0
12.6,0.40000374997656263,10.4,36.7,8.4,3.9,36.1,21.3,16.9,0.012987012987012988,0.17747440273037546,10.6,0.0
19.8,0.3062543359104006,15.4,35.3,9.6,4.6,32.7,19.2,19.1,0.03896103896103896,0.07849829351535836,14.6,0.0
13.6,0.3312541796613771,10.2,40.2,9.9,4.5,39.4,21.5,16.1,0.025974025974025976,0.1877133105802048,10.8,0.0
8.7,0.5000031249804688,8.2,33.1,5.5,2.8,33.5,18.1,15.0,0.07792207792207792,0.07849829351535836,7.6,
9.6,0.46875332029174815,4.1,34.6,8.4,3.6,37.2,12.8,10.3,0.012987012987012988,0.07849829351535836,10.6,0.0
9.5,0.49375316404272473,9.4,28.9,7.1,3.3,34.6,15.1,13.6,0.03896103896103896,0.07508532423208192,9.7,
10.6,0.4312535546652833,8.1,35.7,8.3,3.7,34.4,19.5,16.0,0.0,0.0,7.4,
7.1,0.5875025781088868,7.5,27.9,5.3,2.5,29.5,17.7,13.6,0.05194805194805195,0.09897610921501707,7.2,
9.7,0.5000031249804688,6.1,30.8,6.1,2.9,32.0,14.9,14.3,0.025974025974025976,0.06825938566552901,6.9,
10.7,0.38750382810107437,7.3,40.4,9.7,4.3,40.4,20.3,14.5,0.0,0.0,8.3,0.0
11.7,0.43750351560302747,7.3,28.9,6.2,2.9,30.8,14.8,14.5,0.012987012987012988,0.07167235494880547,9.1,
14.8,0.3500040624746095,25.7,30.1,7.1,3.6,30.4,22.0,17.0,0.03896103896103896,0.08191126279863481,15.1,
32.4,0.22500484371972673,18.5,36.6,10.0,6.3,31.0,23.7,25.1,0.05194805194805195,0.11262798634812288,21.0,0.0
14.6,0.31875425778588884,11.3,35.8,8.2,3.8,34.5,23.2,16.1,0.05194805194805195,0.09215017064846417,11.5,
17.2,0.3562540234123537,9.0,25.3,5.6,2.9,26.8,15.7,16.1,0.03896103896103896,0.07508532423208192,15.2,
16.7,0.3062543359104006,12.7,39.4,10.6,5.0,37.5,23.2,20.6,0.025974025974025976,0.11945392491467577,14.8,0.0
15.2,0.34375410153686536,14.7,30.8,6.9,3.4,29.8,25.0,18.8,0.025974025974025976,0.10921501706484643,11.8,0.0
8.4,0.4250035937275392,14.8,29.2,6.0,2.8,31.4,17.5,16.3,0.0,0.09897610921501707,7.9,0.0
20.8,0.2625046093461916,19.5,42.3,14.1,6.5,39.1,25.0,17.3,0.025974025974025976,0.15358361774744028,21.2,0.0
11.6,0.45000343747851573,11.6,29.6,6.1,2.9,31.2,19.6,14.2,0.33766233766233766,0.08191126279863481,13.3,1.0
